"50d82870-0622-0132-5da4-58d385a7b928",41488,"American Society of American Magicians Monthly","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"http://digitalcollections.nypl.org/collections/50d82870-0622-0132-5da4-58d385a7b928"
"ba4b55d0-09f3-0132-b7a6-58d385a7b928",41493,"The paradise of childhood: a manual for self-instruction in Friedrich Froebel's educational principles, and a practical guide to kinder-gartners","","Wiebé, Edward | Fröbel, Friedrich, 1782-1852","1869",1869,"","English","","General Note: ""With seventy-four plates of illustrations.""","Kindergarten","Fröbel, Friedrich, 1782-1852","","","","text | still image","Handbooks, manuals, etc.","b13391553","","SSK+ (Wiebé, E. Paradise of childhood)","","","","","","","iv, [5]-76 p. LXXIV pl. 27 cm.","","M. Bradley & Company","Springfield, Mass",1,"http://digitalcollections.nypl.org/collections/ba4b55d0-09f3-0132-b7a6-58d385a7b928"
"9ea5d5b0-1117-0132-7932-58d385a7b928",41502,"The Green Book","","",1936,1936,1967,"English","From the Introduction to the 1949 edition:\n\nWith the introduction of this travel guide in 1936, it has been our idea to give the Negro traveler information that will keep him from running into difficulties, embarrassments and to make his trips more enjoyable.\n\nThe Jewish press has long published information about places that are restricted and there are numerous publications that give the gentile whites all kinds of information. But during these long years of discrimination, before 1936 other guides have been published for the Negro, some are still published, but the majority have gone out of business for various reasons.\n\nIn 1936 the Green Book was only a local publication for Metropolitan New York, the response for copies was so great it was turned into a national issue in 1937 to cover the United States. This guide while lacking in many respects was accepted by thousands of travelers. Through the courtesy of the United States Travel Bureau of which Mr. Chas. A. R. McDowell was the collaborator on Negro Affairs, more valuable information was secured. With the two working together, this guide contained the best ideas for the Negro traveler. Year after year it grew until 1941. ""PM"" one of New York's great white newspapers found out about it. Wrote an article about the guide and praised it highly. At the present time the guide contains 80 pages and lists numerous business places, including whites which cater to the Negro trade.\n\nThere are thousands of first class business places that we don't know about and can't list, which would be glad to serve the traveler, but it is hard to secure listings of these places since we can't secure enough agents to send us the information. Each year before we go to press the new information is included in the new edition.\n\nWhen you are traveling please mention the Green Book, in order that they might know how you found their place of business, as they can see that you are strangers. If they haven't heard about this guide, ask them to get in touch with us so that we might list their place.\n\nIf this guide has proved useful to you on your trips, let us know. If not, tell us also as we appreciate your criticisms and ideas in the improvement of this guide from which you benefit.\n\nThere will be a day sometime in the near future when this guide will not have to be published. That is when we as a race will have equal opportunities and privileges in the United States. It will be a great day for us to suspend this publication for then we can go wherever we please, and without embarrassment. But until that time comes we shall continue to publish this information for your convenience each year.","","Discrimination in public accommodations | Hotels | Bars (Drinking establishments) | Taverns (Inns) | Restaurants | African Americans","","","","","text","Guidebooks","","","","","","","","","","","Pamphlets","Victor H. Green & Company","",21,"http://digitalcollections.nypl.org/collections/9ea5d5b0-1117-0132-7932-58d385a7b928"
"3f5fa550-169e-0132-18df-58d385a7bbd0",41512,"Emily Fowler Ford papers","","Ford, Emily Ellsworth (Fowler), 1826-1893 | Dickinson, Emily, 1830-1886 | Ford, Gordon Lester, 1823-1891 | Ford, Malcolm Webster, 1862-1902 | Ford, Worthington Chauncey, 1858-1941 | Ford, Paul Leicester, 1865-1902 | Ford, Kathleen | Ford, Mabel | Ford, Rosalie | Fowler, William Chauncey, 1793-1881 | Skeel, Emily Ellsworth Ford, 1867-1958 | Webster, Noah, 1758-1843 | Ford family | Fowler family",1744,1744,1893,"English","Emily Ellsworth (Fowler) Ford was an educated nineteenth-century women who wrote prolifically from adolescence until her death in 1893. Her work was published in a variety of contemporary literary journals, magazines, and newspapers. She was the granddaughter of Noah Webster and wife of Gordon Lester Ford, a prominent businessman and lawyer, with whom she raised their seven children. Ford was involved in many charitable organizations around her home in Brooklyn and was well-known within social and literary circles. The collection consists of family and general correspondence, Ford's published and unpublished writing, notes and keepsakes, and a small number of photographs. The material spans parts of her childhood in Amherst through her death in 1893.","General Note: Related collections include the Ford Family Papers, Gordon Lester Ford Papers, Paul Leicester Ford Papers, Worthington C. Ford Papers, and the Emily Ellsworth Ford Skeel Papers; Manuscripts and Archives Division; The New York Public Library.","Authors and publishers | Poets, American | Women poets, American | Social life and customs","Ford, Emily Ellsworth (Fowler), 1826-1893 | Ford family | Fowler family","Brooklyn (New York, N.Y.) | Massachusetts","19th century","","text | still image","diaries | Photographs | poems | Scrapbooks | Correspondence","b11635596","","MssCol 1038","","","","","","NYPW92-A196","6.34 linear feet (16 boxes)","","","",1,"http://digitalcollections.nypl.org/collections/3f5fa550-169e-0132-18df-58d385a7bbd0"
"a2ad9470-1a61-0132-9f5b-58d385a7bbd0",41517,"Pratt Institute monthly","","",1892,1892,1904,"English","","","","","","","","","Periodicals","b15011296","","SSMC+ (Pratt Institute monthly)","","","","","","","12 v. ill.","","","Brooklyn",1,"http://digitalcollections.nypl.org/collections/a2ad9470-1a61-0132-9f5b-58d385a7bbd0"
"2f25cdd0-1a7d-0132-1045-58d385a7bbd0",41520,"war between the United States and Mexico illustrated: embracing pictorial drawings of all the principal conflicts","","Kendall, Geo. Wilkins (George Wilkins), 1809-1867 | Nebel, Carl","1851",1851,"","English","","Citation/References Note: Phillips, 3686","Mexican War, 1846-1848 | Campaigns | Illustrated books | History | 19th century","","","","","text","","b12714613","","Stuart 48","","","","","","","iv, 52 p. 12 col. pl. 39 cm.","","D. Appleton & company; [etc., etc.]","New York",1,"http://digitalcollections.nypl.org/collections/2f25cdd0-1a7d-0132-1045-58d385a7bbd0"
"e77a6cb0-1b44-0132-7cfb-58d385a7bbd0",41524,"Elements of phrenology","","Combe, George, 1788-1858","1835",1835,"","English","","","Phrenology","","","","","text","Book illustrations","b13407859","","YEZ (Combe, G. Elements of phrenology)","","","","","","","xii, 204 p. : ill. ; 19 cm.","","Marsh, Capen & Lyon","Boston",1,"http://digitalcollections.nypl.org/collections/e77a6cb0-1b44-0132-7cfb-58d385a7bbd0"
"07b8ef10-1b49-0132-0bd8-58d385a7bbd0",41525,"Cherokee advocate","Cherokee advocate (Tahlequah, Okla. : 1844)","Ross, William P. (William Potter), 1820-1891 | Ross, Daniel Hicks | Vann, James Shepherd | Boudinot, William Penn | Adair, John L. (John Lynch), 1828-1896 | Johnson, George Washington | Boudinot, Elias C. (Elias Cornelius), 1835-1890 | Wyly, Robert Fletcher. | Adair, Hugh Montgomery | Butler, George Oliver | Hudson, Waddie. | Siquichie, Joseph R. | Loeser, William T. | Melton, Wiley J. | Cherokee Nation, National Council.",1844,1844,1906,"English | Cherokee","","Note: ""Published ... by provision of the Cherokee National Council."" Cf. G.E. Ray.  Early Oklahoma newspapers","Cherokee Indians | Indians of North America","","","","","text","Periodicals | Newspapers","b12638656","","*KSC","","","","","","","v. : ill. ; 51-67 cm","","s.n.]","Tahlequah, Cherokee Nation [Okla",1,"http://digitalcollections.nypl.org/collections/07b8ef10-1b49-0132-0bd8-58d385a7bbd0"
"acc876a0-1c0a-0132-c5a7-58d385a7b928",41528,"Peter Joseph Krahe: Leben und Werk","","Dorn, Reinhard | Krahe, Peter Joseph, 1758-1840","1969-",1969,"","","","Bibliography, etc. Note: Bibliography: v. 1, p. 286-294.","Architects","Krahe, Peter Joseph, 1758-1840","Germany","","","text","Books","b13961395","","MQZ (Krahe) (Dorn, R. Peter Joseph Krahe)","","","","","","","v. illus., facsims., ports. 29cm.","Illustrations | Designs and plans","Klinkhardt & Biermann","Braunschweig",2,"http://digitalcollections.nypl.org/collections/acc876a0-1c0a-0132-c5a7-58d385a7b928"
"9a94f750-1cba-0132-fe2a-58d385a7b928",41531,"Collection of decorative engravings by Remondini","","Remondini family","1750",1750,"","","","Statement of Responsibility Note: Remondini family (Italian, active 17th - 19th centuries) (Publisher)","","","","","","still image","Prints","","","96349&96395","","","","","","","","Engravings","","",1,"http://digitalcollections.nypl.org/collections/9a94f750-1cba-0132-fe2a-58d385a7b928"
"2469d1c0-2014-0132-c4d5-58d385a7bbd0",41533,"Thom's official directory of the United Kingdom of Great Britain and Ireland","","",1881,1881,1926,"English","","","Directories","","Great Britain","","","text | cartographic","Directories","b20552380","","CA (Thom's official directory of the United Kingdom of Great Britain and Ireland)","","","","","","","v. ; 23 cm","","","Dublin",1,"http://digitalcollections.nypl.org/collections/2469d1c0-2014-0132-c4d5-58d385a7bbd0"
"e43c4590-20b9-0132-83d1-58d385a7b928",41534,"American cloak and suit review","","",1912,1912,1937,"English","","","Coats | Cloaks | Costume--History--20th century","","","","","text","Periodicals | Reviews","b11957762","","3-VLVA+ (American cloak and suit review)","","","","","","","v. 42 cm.","","","New York",1,"http://digitalcollections.nypl.org/collections/e43c4590-20b9-0132-83d1-58d385a7b928"
"6010cfd0-20db-0132-4503-58d385a7bbd0",41535,"Troe","","Guro, Elena, 1877-1913 | Kruchenykh, A. (Alekseĭ), 1886-1969? | Khlebnikov, Velimir, 1885-1922 | Malevich, Kazimir Severinovich, 1878-1935","1913",1913,"","Russian","","Statement of Responsibility Note: [E. Guro, V. Khlebnikov, A. Kruchenykh] ; oblozhka i risunki ... K.S. Malevichem.","","","","","","text | still image | notated music","Books | Poetry | Prose","b14021259","","Slav. Reserve 99-1108","","","","","","","96 p. : ill., music ; 21 cm.","","Zhuravlʹ","S.-Peterburg [Saint Petersburg (Russia)]",1,"http://digitalcollections.nypl.org/collections/6010cfd0-20db-0132-4503-58d385a7bbd0"
"841227b0-2191-0132-5014-58d385a7bbd0",41537,"Philosophiae naturalis principia mathematica","","Newton, Isaac, Sir, 1642-1727 | Halley, Edmond, 1656-1742","1687",1687,"","Latin","The third book, p. 401-510, was printed by a different printer; page numbers 385-399 are omitted, and p. 384 is numbered 400 ""to show the omission was known."" For more detailed description, and mention of various cancel leaves, cf. Gray, G.J. A bibliography of the works of Sir Isaac Newton. Cambridge [Eng.] 1907. p. 5-7.","Source of Acquisition Note: John Shaw Billings Memorial Collection.","Celestial mechanics | Early works to 1800 | Mechanics","","","","","text","Rare books","b14432557","","*KC 1687 (Newton, I. Philosophiae naturalis principia mathematica) [copy 1]","","","","","","","4 p. l., 400 [i.e 384], 401-510 p., 2 l. chart, diagrs. 25 cm. (4to.)","","Joseph Streater","London",1,"http://digitalcollections.nypl.org/collections/841227b0-2191-0132-5014-58d385a7bbd0"
"b6d23640-24c6-0132-82cc-58d385a7b928",41539,"Elizabeth Barrett Browning collection of papers 1764-[1973] bulk (1812-1883).","","Browning, Elizabeth Barrett, 1806-1861",1764,1764,1973,"English","","Biographical or Historical Data Note: Elizabeth Barrett Browning was an English poet and translator. Born on March 6, 1806, Barrett Browning became proficient in Greek, Latin, French, and other European languages. At the age of eleven she wrote a verse ""epic"" in four books of rhyming couplets, ""The Battle of Marathon,"" which was privately printed in 1820 at her father's expense. She went on to write such works as ""An essay on mind,"" ""Sonnets from the Portuguese,"" and ""Aurora Leigh."" In September of 1846, she secretly married the poet Robert Browning, and they moved to Italy, eventually settling in Florence, where she remained until her death in 1861.","","Browning, Elizabeth Barrett, 1806-1861","","","","text | still image","Archival materials","b15859245","","Berg Coll MSS Browning, EB","","","","","","","609 items","Correspondence | Notebooks | Pictorial works","","",5,"http://digitalcollections.nypl.org/collections/b6d23640-24c6-0132-82cc-58d385a7b928"
"8f96ce90-2567-0132-ac2b-58d385a7b928",41540,"Johannis Henrici Alstedii Encyclopaedia septem tomis distincta...","Encyclopaedia septem tomis distincta","Alsted, Johann Heinrich, 1588-1638","1630",1630,"","","","","Encyclopedias and dictionaries, Latin","","","","","text","Books | Encyclopedias","b14468140","","Drexel 2621-2622","","","","","","","7 v. in 2 : ill. ; 33 cm.","","typis G. Corvini","Herbornae Nassoviorum",2,"http://digitalcollections.nypl.org/collections/8f96ce90-2567-0132-ac2b-58d385a7b928"
"f82434e0-2720-0132-8337-58d385a7bbd0",41543,"Material culture collection","","","","","","","","","","","","","","","","b11486937","","Sc Art (Material culture collection)","","","","","","","","","","",4,"http://digitalcollections.nypl.org/collections/f82434e0-2720-0132-8337-58d385a7bbd0"
"a4c42860-2723-0132-0684-58d385a7b928",41544,"Cours de physique purement expérimentale à l'usage des gens du monde","","Ganot, A. (Adolphe), 1804-1887 | Quarteley | Dujardin | Lambert, L.-T. | Salle","1859",1859,"","French","","","Physics","","","","","text | still image","Books | Technical illustrations","b13754806","","3-PAF (Ganot, A. Cours de physique)","","","","","","","530 p. : ill. ; 20 cm.","Engravings","Chez l'auteur, éditeur","Paris",1,"http://digitalcollections.nypl.org/collections/a4c42860-2723-0132-0684-58d385a7b928"
"ef865a60-27b5-0132-1951-58d385a7bbd0",41545,"The true history of the ghost, and all about metempsychosis","True history of Pepper's ghost","Pepper, John Henry, 1821-1900 | McManus-Young Collection (Library of Congress) | Ellison, Saram Richard, b. 1852","1890",1890,"","English","","Ownership and Custodial History Note: Source: Gift of John J. and Hanna M. McManus and Morris N. and Chesley V. Young, Oct. 12, 1955. DLC","Magic tricks | Equipment and supplies | History","","","","","text | still image","","b13358150","","MZC [RBS] 97-931 (Pepper, J. H. True history of the ghost)","","","","","","","46 p., [1] folded leaf of plates : ill. ; 19 cm.","","Cassell & Co.","London | New York",1,"http://digitalcollections.nypl.org/collections/ef865a60-27b5-0132-1951-58d385a7bbd0"
"a3950870-27c8-0132-2d7e-58d385a7b928",41546,"The secrets of stage conjuring","","Robert-Houdin, Jean-Eugène, 1805-1871 | Hoffmann, Professor, 1839-1919","1881",1881,"","English | French","","Statement of Responsibility Note: Translated ... by Prof. Hoffmann [pseud.]","Magic tricks","","","","","text | still image","","b13359717","","MZC [RBS] 97-964 (Robert-Houdin, J. E. Secrets of stage conjuring)","","","","","","","viii, [9]-252 p. incl. front. (port.) illus. 19 cm.","","G. Routledge & Sons","London | New York",2,"http://digitalcollections.nypl.org/collections/a3950870-27c8-0132-2d7e-58d385a7b928"
"5e5490e0-2bd3-0132-f353-58d385a7b928",41550,"Billy Rose Theatre Division periodicals file","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,"http://digitalcollections.nypl.org/collections/5e5490e0-2bd3-0132-f353-58d385a7b928"
"794212b0-2c85-0132-d7a0-58d385a7bbd0",41551,"Stories from the Pentamerone","Pentamerone","Basile, Giambattista, ca. 1575-1632 | Strange, E. F. | Goble, Warwick","1911",1911,"","English","","Note: ""The collection of folk-tales known as Il Pentamerone was first published at Naples and in the Neapolitan dialect ... The following version follows the translation by John Edward Taylor ... 1847.""--Note.","Folklore -- Italy","","","","","text","Illustrated books","b13425247","","ZBIK (Basile, G. B. Stories from the Pentamerone)","","","","","","","xii, 303, [1] p. 32 col. pl. (incl. front.) 26 cm.","","Macmillan and co., limited","London",1,"http://digitalcollections.nypl.org/collections/794212b0-2c85-0132-d7a0-58d385a7bbd0"
"9ac450b0-2ca5-0132-cae2-58d385a7bbd0",41553,"Schomburg Menu Collection","","Sylvias Soul Food (Restaurant)s Soul Food (Restaurant) | Cotton Club | Small's Paradise (Nightclub : Harlem, New York, N.Y.) | Savoy Ballroom (Harlem, New York, N.Y.)",1893,1893,2000,"","Included in the collection are menus from Harlem and New York restaurants, such as Sylvia's restaurant and Home Sweet Harlem Café, and nightclubs such as, Club Baby Grand, The Cotton Club, Savoy Ballroom and Smalls Paradise. There are also items from the African Pavilion at the 1964 World's Fair, Ethiopian Airlines, Fort Huachaca, home of the Buffalo Soldiers, Motown Café, Royal Air Maroc, and the foreign minister's residence in Liberia.\nThe Schomburg Menu Collection consists of 84 menus and related ephemera such as banquet and private dinner menus, wine lists, floor plans, invitations and photo covers, dated from 1893 through ca. 2000.","","Food | African American cooking | African Americans | Social life and customs | Dinners and dining | Restaurants | Food habits | Airlines | Food service | Invitation cards","Sylvias Soul Food (Restaurant)s Soul Food (Restaurant) | Cotton Club | Small's Paradise (Nightclub : Harlem, New York, N.Y.) | Savoy Ballroom (Harlem, New York, N.Y.)","Harlem (New York, N.Y.) | Arizona | New Orleans (La.) | Monrovia (Liberia)","","","text","Menus","b20496685","","Sc MG 895","","","","","","","","","","",16,"http://digitalcollections.nypl.org/collections/9ac450b0-2ca5-0132-cae2-58d385a7bbd0"
"67486c30-2d44-0132-f429-58d385a7b928",41554,"Breve, e succinta relazione del viaggio nel regno di Congo nell' Africa Meridionale","","Merolla, Girolamo, 1650-1697 | Piccardo, Angelo | Capuchins -- Africa","1727",1727,"","Italian","","Citation/References Note: Borba da Moraes: Bibl. brasiliana, II, 61","","Capuchins -- Africa","Congo -- Description and travel | Angola -- Description and travel | Brazil -- Description and travel","","","text","","b14320394","","*KB 1727 (Merolla, G. Breve)","","","","","","","4 p.l., 316 p., 14 l. plates 18 cm. (8vo.)","","","Napoli",1,"http://digitalcollections.nypl.org/collections/67486c30-2d44-0132-f429-58d385a7b928"
"ca6766d0-2d5a-0132-2640-58d385a7b928",41556,"Istorica descrittione de' tre regni Congo, Matamba, et Angola: sitvati nell'Etiopia inferiore occidentale e delle missioni apostoliche esercitateui da religiosi Capuccini","Viaggio de'tre regni Congo, Matamba et Angola nell'Etiopia","Cavazzi, Giovanni Antonio, 1621-1678 | Alamandini, Fortunato | Agnelli, Federico, 1626-1702 | Capuchins | Catholic Church -- Africa, West., 17th cent | Capuchins -- Africa, West","1690",1690,"","Italian","","Note: Engraved front. signed: Agnellus [i.e. F. Agnelli]","Missions -- Africa, Central | Missions -- Africa, West","Capuchins | Catholic Church -- Africa, West., 17th cent | Capuchins -- Africa, West","Kongo Kingdom -- Description and travel -- Early works to 1800 | Angola -- Description and travel -- Early works to 1800 | Congo -- Description and travel | Angola -- Description and travel","","","text","Rare books | Travel books","b14334185","","*KB 1690 (Cavazzi, G. A. Istorica descrittione de' tre regni Congo, Matamba, et Angola)","","","","","","","[16], 785, [1] p. plates (1 fold.), fold. map. 25 cm. (4to.)","","Nelle stampe dell'Agnelli","Milano | Italy Lombardy Milan (Province) Milan",1,"http://digitalcollections.nypl.org/collections/ca6766d0-2d5a-0132-2640-58d385a7b928"
"bbb5b5e0-313f-0132-eaea-58d385a7b928",41557,"The American photo-engraver","American photo engraver","International Photo Engravers' Union of North America",1908,1908,1964,"English","","Note: Monthly","Printing industry -- Employees -- Labor unions -- United States -- Periodicals | Printing industry -- United States -- Periodicals","","","","","text","Periodicals","b11867425","","TDRA (American photo engraver)","","0097-3297","","","","","v. : ill. ; 24 cm.","","International Photo Engravers Union","Chicago",4,"http://digitalcollections.nypl.org/collections/bbb5b5e0-313f-0132-eaea-58d385a7b928"
"64ec5570-3144-0132-5bf5-58d385a7b928",41558,"The bulletin","","International Typographical Union",1912,1912,1979,"English","","Note: Monthly","Printing industry -- Employees -- Labor unions -- United States -- Periodicals","","","","","text","Periodicals","b10832861","","TDRA (International Typographical Union of North America. Bulletin)","","0020-904X","","","","","v. 21 cm.","","","Colorado Springs [etc.]",3,"http://digitalcollections.nypl.org/collections/64ec5570-3144-0132-5bf5-58d385a7b928"
"311a0c00-35e2-0132-3c12-58d385a7bbd0",41560,"fortifications et artifices: architecture et perspectiue","","Perret, Jacques, gentilhomme savoysien | Leu, Thomas de, 1560-1612 | Henry IV, King of France, 1553-1610","1601",1601,"","French","","Note: For reproduction of plate depicting a building of 9 stories capable of lodging ""500 personnes à leur aise"" (in Spencer Coll. copy: no. [21]; see also nos. [9-10], [22]) see: Architektur, die nicht gebaut wurde / Josef Ponten. Stuttgart : Deutsche Verlags-Anstalt, 1925. v. 2, fig. 72.","Architecture -- Early works to 1800 | Fortification -- Early works to 1800 | Architectural drawings | Perspective--Early works to 1800","","","","","text | still image","rare books | Book illustrations","b10781009","","Spencer Coll. French 1601 83-47","","","","","","","[20] leaves, [45] leaves of plates : chiefly ill. ; 43 cm. (fol.)","Engravings | plates (illustrations)","Iaques Perret","Paris",2,"http://digitalcollections.nypl.org/collections/311a0c00-35e2-0132-3c12-58d385a7bbd0"
"0d604db0-3c35-0132-f8ab-58d385a7bbd0",41562,"Joseph Conrad collection of papers [Text]","","Conrad, Joseph, 1857-1924 | Pforzheimer, Arthur | Quinn, John, 1870-1924 | Robertson, Struan, Mrs | Young, Owen D., 1874-1962",1885,1885,1956,"English","This is a synthetic collection consisting of manuscripts and typescripts by and about the author, correspondence, financial and legal documents, portraits, and pictorial works. The manuscripts and typescripts include novels, stories, plays, and essays by the author, including the holograph of ""The Secret Sharer"" and the typescript of ""Victory,"" as well as essays, reviews, bibliographies, and notes on his works by Richard Curle, Wilson Follett, Ford Madox Ford, John Galsworthy, Cecil Thomas Wood, and others. The correspondence, dating from 1885 to 1924, includes letters from the author to J. M. Barrie, Sir Sidney Colvin, J. M. Dent, Ford Madox Ford, Edward Garnett, W. T. H. Howe, James B. Pinker, T. Fisher Unwin, Catherine Willard, and others. Also present are letters relating to the author, dating from 1900 through 1956, between various correspondents including Georges Aubry, Sir Sidney Carlyle Cockerell, Sir Sidney Colvin, Norman Douglas, John Galsworthy, Christopher Morley, Bertrand Russell, Clement King Shorter, Thomas James Wise, J. M. Dent & Sons, William Heinemann, Ltd., Metheun & Co., James B. Pinker and Son, T. Fisher Unwin, and others. There are letters to Conrad from Mary Austin, Richard Curle, J. M. Dent and Sons, Doubleday, Page & Co., Ford Madox Ford, George Gissing, Basil Macdonald Hastings, Henry James, Rudyard Kipling, Clement King Shorter, T. Fisher Unwin, and others, dating from 1896 to 1923.","Date Note: Bulk of the collection dates from: 1896-1934.","","Conrad, Joseph, 1857-1924","","","","text | still image","Archival materials","b15922526","","Berg Coll MSS Conrad [Text]","","","","","","","4,563 items.","","","",4,"http://digitalcollections.nypl.org/collections/0d604db0-3c35-0132-f8ab-58d385a7bbd0"
"77fbc820-3c58-0132-8e44-58d385a7b928",41565,"Poetry Society of America records","","Poetry Society of America | Miller, J. Corson.",1917,1917,1948,"","Collection consists of poems, correspondence, memoranda, and newsclippings relating to the affairs of the Society. Poems and letters were contributed by members. Also, materials pertaining to PSA administrative matters.","Action Note: Cataloged 1951-1961 accessions 03/31/94 lw","American poetry -- 20th century | Poetry -- Societies, etc.","Poetry Society of America","","","","mixed material","","b11974869","","MssCol 2444","","","","","","","","1 linear foot (4 boxes).","","",1,"http://digitalcollections.nypl.org/collections/77fbc820-3c58-0132-8e44-58d385a7b928"
"271a96a0-3c59-0132-cd82-58d385a7b928",41566,"Cartes de visite collection","","","","","","","","","","","","","","still image","Photographs | Cartes de visite","","","","","","","","","","","","","",83,"http://digitalcollections.nypl.org/collections/271a96a0-3c59-0132-cd82-58d385a7b928"
"c7a1c0a0-3dd0-0132-b6fd-58d385a7bbd0",41568,"Narrative of the life of Frederick Douglass : an American slave / written by himself.","","Douglass, Frederick, 1818-1895","1846",1846,"","","","","","Douglass, Frederick, 1818-1895","","","","text","","b11759323","","Sc Rare B-Douglass (Douglass, F. Narrative of the life of Frederick Douglass. 1846, 3d ed.)","","","","","","","","","J. Barker","Wortley, England",1,"http://digitalcollections.nypl.org/collections/c7a1c0a0-3dd0-0132-b6fd-58d385a7bbd0"
"b4392ec0-4023-0132-bb44-58d385a7bbd0",41570,"Puerto Rican Slave Documents","","",1867,1867,1872,"Spanish","Sixty-seven miscellaneous slave documents listing individual slaves, their physical characteristics, and ownership. Most of the slaves belonged to smaller households in the northeast part of the island, and many were young children.","","Slaveholders | Child slaves | Slavery | Slaves","","Puerto Rico","","","text","Documents","b11883940","","Sc MG 164","","","","","","","","","","",67,"http://digitalcollections.nypl.org/collections/b4392ec0-4023-0132-bb44-58d385a7bbd0"
"ff8127f0-40fe-0132-bfa2-58d385a7b928",41571,"New neighborhoods, new lives","","New York City Housing Authority | Gemming, Klaus | Rudolph, Nancy","1964",1964,"","English","","","Housing","","","","","still image | text","Pictorial works","b10562278","","JLE 78-2256 (SASB)","","","","","","","[36] p. (chiefly plates) 25 cm.","Photomechanical prints","","New York",3,"http://digitalcollections.nypl.org/collections/ff8127f0-40fe-0132-bfa2-58d385a7b928"
"8940f2c0-410a-0132-ee28-58d385a7bbd0",41572,"Twenty-five years of public housing: 1935-1960","","New York City Housing Authority","1960",1960,"","English","","","Housing -- New York (State) -- New York","","","","","text","Pamphlets","b13029718","","F-11 3400  [no. 4]","","","","","","","[14] p. : ill. 30 cm.","","Public Relations Division, New York City Housing Authority","New York",1,"http://digitalcollections.nypl.org/collections/8940f2c0-410a-0132-ee28-58d385a7bbd0"
"31fdff90-410f-0132-f2fc-58d385a7bbd0",41573,"30 years of amalgamated cooperative housing, 1927-1957","Amalgamated Cooperative housing","Amalgamated Housing Corporation | James Peter Warbasse Memorial Library (New York)","1958",1958,"","English","","Note: Cover title.","Housing -- New York (State) -- New York | Apartment houses, Cooperative -- New York (State) -- New York","","","","","still image | text","Pamphlets","b13054256","","G-10 736 [1]","","","","","","","1 v. (unpaged) illus. (part col.) ports., maps. 31 cm.","Photomechanical prints","James Peter Warbasse Memorial Library","New York",1,"http://digitalcollections.nypl.org/collections/31fdff90-410f-0132-f2fc-58d385a7bbd0"
"eadc4870-4113-0132-22c6-58d385a7b928",41574,"Clason Point Gardens, Bronx, New York","","New York City Housing Authority","1942-01",1942,"","English","","Note: At head of title: January, 1942.","Working class -- Housing -- New York (State) -- New York","","","","","text","Pamphlets","b14455299","","TDB p.v. 592 [2]","","","","","","","16 p. illus. (part col'd, incl. plans.) 28 cm.","Offset photomechanical prints","","New York",1,"http://digitalcollections.nypl.org/collections/eadc4870-4113-0132-22c6-58d385a7b928"
"533a4880-4116-0132-9619-58d385a7b928",41575,"Wallabout houses: a defense project for navy families","","New York City Housing Authority","1942",1942,"","English","","Statement of Responsibility Note: New York City Housing Authority.","Working class -- Housing -- New York (State) -- Brooklyn","","","","","text | still image","Pamphlets","b14455298","","TDB p.v. 592 [4]","","","","","","","7 p. illus. (incl. chart, plans.) 28 cm.","","","New York",1,"http://digitalcollections.nypl.org/collections/533a4880-4116-0132-9619-58d385a7b928"
"5ebf2d00-41a8-0132-f879-58d385a7b928",41576,"Construction cost analysis: large scale, low rent housing, public, private and limited dividend","","New York City Housing Authority | Marinoff, Louis","1946",1946,"","English","","Note: Cover title.","Building -- Estimates | Building -- New York (State) -- New York | Housing","","","","","text | still image","Pamphlets","b13790390","","VDN+ (New York (City). Housing cost study committee. Constructin cost analysis) v. 1","","","","","","","v. illus. (incl. map, plans) 30 x 23cm.","Illustrations | Photomechanical prints","New York City Housing Authority","New York",1,"http://digitalcollections.nypl.org/collections/5ebf2d00-41a8-0132-f879-58d385a7b928"
"b6077f80-41b1-0132-64cf-58d385a7bbd0",41577,"Housing: public housing, slum clearance, quasi-public housing, F. H. A. housing: January 1946- July 1949; report to Mayor william GlDnyer","","New York City Housing Authority","1949",1949,"","","","","Housing -- New York (State) -- New York","","","","","still image | text | cartographic","","b10369746","","JLG 73-218 (SASB)","","","","","","","1 v. (unpaged). illus., ports., maps. 27 x 36 cm.","","","New York",2,"http://digitalcollections.nypl.org/collections/b6077f80-41b1-0132-64cf-58d385a7bbd0"
"71337370-4283-0132-3534-58d385a7b928",41578,"Australian aboriginals","","Lindt, J. W. (John William), 1845-1926 | Caire, N. J. (Nicholas John), 1837-1918",1880,1880,1881,"","Studio portraits of Australians posed against painted backdrops of natural settings: 8 show aboriginal men, women and children, 4 depict life in the outback including sheep shearing.  1 additional print by N. J. Caire shows Royal Arcade in Melbourne during Melbourne International Exhibition of 1880-81.","Ownership and Custodial History Note: Anonymous gift, 1908.","Aboriginal Australians | Sheep -- Australia | Sheep shearing -- Australia | Ethnic groups -- Australia | Painted backdrops","","Australia -- 1880-1889","","","still image","Photographs | Albumen prints","b11920351","","MFZ+ (Lindt) 81-792","","","","","","","1 collection (13 photographic prints) : albumen, b&w ; photographic prints are approx. 210 x150 mm. on mount 37 x 26 cm.","","","",4,"http://digitalcollections.nypl.org/collections/71337370-4283-0132-3534-58d385a7b928"
